n_matches,n_actions,act_insert-node,act_move-tree,act_delete-tree,act_delete-node,n_delete_node,n_delete_tree,n_update_node,n_insert_node,n_insert_tree,n_move_tree,ratio_delete_tree,ratio_update_node,ratio_move_tree,n_unique_touched_types,touches_sensitive_ast,node_token,node_binary_expression,node_identifier,node_cast_expression,touches_control_flow,touches_if,touches_return,touches_loop,deleted_if,inserted_if,n_updated_labels,updated_labels_joined,has_safety_token_update,n_groups,max_group_actions,avg_group_actions,pct_groups_with_delete,groups_with_control_flow,xml_path,xml_name,act_insert-tree,node_call_expression,node_if_statement,node_if,node_parenthesized_expression,node_expression_statement,node_assignment_expression,node_false,node_true,act_update-node,node_declaration,node_return_statement,node_labeled_statement,node_array_declarator,node_unsigned,node_primitive_type,node_type_identifier,node_return,node_sized_type_specifier,node_goto_statement,node_statement_identifier,node_compound_statement,node_for_statement,node_for,node_update_expression,node_else,node_else_clause,node_argument_list,node_comment,node_ERROR,node_case,node_break,node_comma_expression,node_init_declarator,node_pointer_declarator,node_number_literal,node_field_identifier,node_field_expression,node_function_declarator,node_parameter_declaration,node_parameter_list,node_break_statement,node_type_descriptor,node_subscript_expression,node_type_qualifier,node_pointer_expression,node_sizeof_expression,node_unary_expression,node_string_literal,node_case_statement,node_switch_statement,node_switch,node_function_definition,node_storage_class_specifier,node_string_content,node_while_statement,node_conditional_expression,node_struct_specifier,node_concatenated_string,node_preproc,node_type_definition,node_char_literal,node_while,node_null,node_default,node_do_statement,node_do,node_gnu_asm_expression,node_asm,node_gnu_asm_qualifier,node_gnu_asm_output_operand_list,node_gnu_asm_input_operand_list,node_gnu_asm_input_operand,node_macro_type_specifier,node_abstract_pointer_declarator,node_initializer_pair,node_initializer_list,node_field_declaration,node_field_designator,node_continue_statement,node_parenthesized_declarator,node_sizeof,node_escape_sequence,node_const,node_continue,node_abstract_array_declarator,node_abstract_function_declarator,node_union_specifier,node_enum_specifier,node_auto,node_offsetof_expression,node_long,node_variadic_parameter
2322,30,17.0,5.0,3.0,5.0,5,3,0,17,0,5,0.1,0.0,0.16666666666666666,4,True,11.0,10.0,8.0,1.0,False,False,False,False,False,False,0,,False,5,8,6.0,0.8,0,pair_01323/1323_vulnerable_to_patched.xml,1323_vulnerable_to_patched.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,11,8.0,2.0,0.0,0.0,0,0,0,8,1,2,0.0,0.0,0.18181818181818182,8,True,2.0,0.0,2.0,0.0,True,True,False,False,False,True,0,,False,1,11,11.0,0.0,1,pair_00150/150_vulnerable_to_patched.xml,150_vulnerable_to_patched.xml,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,3,1.0,0.0,0.0,1.0,1,0,0,1,1,0,0.0,0.0,0.0,3,False,0.0,0.0,0.0,0.0,True,True,False,False,False,True,0,,False,2,2,1.5,0.5,1,pair_02247/2247_vulnerable_to_patched.xml,2247_vulnerable_to_patched.xml,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,40,4.0,3.0,15.0,11.0,11,15,4,4,3,3,0.375,0.1,0.075,17,True,5.0,0.0,4.0,0.0,True,True,True,False,True,False,4,char|crypto_cipher|crypto_cipher_setkey|crypto_free_cipher,False,20,6,2.0,0.85,5,pair_00085/85_vulnerable_to_patched.xml,85_vulnerable_to_patched.xml,3.0,1.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1323,9,0.0,1.0,0.0,0.0,0,0,5,0,3,1,0.0,0.5555555555555556,0.1111111111111111,5,False,0.0,0.0,2.0,0.0,True,True,False,False,False,True,5,err_register_ctrlsock|err_register_defaults|err_register_ctrlsock|sctp_defaults_ops|sctp_ctrlsock_ops,False,8,2,1.125,0.0,1,pair_01872/1872_vulnerable_to_patched.xml,1872_vulnerable_to_patched.xml,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,38,12.0,14.0,1.0,7.0,7,1,0,12,4,14,0.02631578947368421,0.0,0.3684210526315789,16,True,8.0,1.0,2.0,0.0,True,True,False,True,True,False,0,,False,1,38,38.0,1.0,1,pair_01212/1212_vulnerable_to_patched.xml,1212_vulnerable_to_patched.xml,4.0,1.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347,8,4.0,2.0,0.0,0.0,0,0,0,4,2,2,0.0,0.0,0.25,2,True,2.0,6.0,0.0,0.0,False,False,False,False,False,False,0,,False,1,8,8.0,0.0,0,pair_01165/1165_vulnerable_to_patched.xml,1165_vulnerable_to_patched.xml,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,8,4.0,2.0,0.0,0.0,0,0,0,4,2,2,0.0,0.0,0.25,2,True,2.0,6.0,0.0,0.0,False,False,False,False,False,False,0,,False,3,4,2.6666666666666665,0.0,0,pair_01180/1180_vulnerable_to_patched.xml,1180_vulnerable_to_patched.xml,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,1.0,0.0,1,False,0.0,0.0,1.0,0.0,False,False,False,False,False,False,1,zend_hash_find,False,1,1,1.0,0.0,0,pair_02355/2355_vulnerable_to_patched.xml,2355_vulnerable_to_patched.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,12,10.0,2.0,0.0,0.0,0,0,0,10,0,2,0.0,0.0,0.16666666666666666,4,True,4.0,0.0,2.0,0.0,False,False,False,False,False,False,0,,False,1,12,12.0,0.0,0,pair_02798/2798_vulnerable_to_patched.xml,2798_vulnerable_to_patched.xml,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
