source,target
delete-node_If_Block,delete-node_LocalVariable_Block
delete-node_If_Block,delete-node_Invocation_Block
delete-node_If_Block,delete-node_VariableRead_If
insert-node_If_Block,is_vul
insert-node_If_Block,insert-node_Invocation_Block
insert-node_If_Block,move-tree_BinaryOperator_If
insert-node_If_Block,move-tree_VariableRead_Conditional
insert-node_Invocation_Block,is_vul
insert-node_Invocation_Block,insert-node_ConstructorCall_LocalVariable
insert-node_Invocation_Block,delete-node_BinaryOperator_LocalVariable
delete-node_Invocation_Block,delete-node_LocalVariable_Block
delete-node_Invocation_Block,move-tree_BinaryOperator_Assignment
delete-node_Invocation_Block,delete-node_ConstructorCall_LocalVariable
insert-node_LocalVariable_Block,insert-node_If_Block
insert-node_LocalVariable_Block,insert-node_VariableRead_Invocation
insert-node_LocalVariable_Block,insert-node_Invocation_Block
insert-node_LocalVariable_Block,insert-node_VariableRead_BinaryOperator
insert-node_LocalVariable_Block,insert-node_Assignment_Block
insert-node_LocalVariable_Block,delete-node_LocalVariable_Block
insert-node_LocalVariable_Block,move-tree_VariableRead_BinaryOperator
insert-node_LocalVariable_Block,move-tree_ConstructorCall_Throw
insert-node_LocalVariable_Block,insert-node_Catch_Try
insert-node_LocalVariable_Block,insert-node_ForEach_Block
delete-node_LocalVariable_Block,delete-node_VariableRead_Invocation
delete-node_LocalVariable_Block,move-tree_ConstructorCall_LocalVariable
delete-node_LocalVariable_Block,move-tree_BinaryOperator_LocalVariable
delete-node_LocalVariable_Block,delete-node_VariableRead_BinaryOperator
delete-node_LocalVariable_Block,delete-node_Assignment_Block
delete-node_LocalVariable_Block,move-tree_VariableRead_BinaryOperator
delete-node_LocalVariable_Block,delete-node_Try_Block
delete-node_LocalVariable_Block,delete-node_ForEach_Block
insert-node_Invocation_LocalVariable,delete-node_ConstructorCall_LocalVariable
delete-node_Invocation_LocalVariable,insert-node_ConstructorCall_LocalVariable
delete-node_Invocation_LocalVariable,update-node_TypeAccess_ThisAccess
insert-node_VariableRead_Invocation,move-tree_BinaryOperator_Invocation
insert-node_VariableRead_Invocation,delete-node_Invocation_Invocation
insert-node_VariableRead_Invocation,delete-node_TypeAccess_ThisAccess
delete-node_VariableRead_Invocation,insert-node_TypeAccess_ThisAccess
insert-node_Parameter_Method,insert-node_VariableRead_Invocation
insert-node_Invocation_Invocation,is_vul
insert-node_Invocation_Invocation,insert-node_Invocation_Return
delete-node_Parameter_Method,delete-node_VariableRead_Invocation
delete-node_Invocation_Invocation,insert-node_ConstructorCall_Invocation
delete-node_Invocation_Invocation,delete-node_Invocation_Return
move-tree_BinaryOperator_LocalVariable,insert-node_BinaryOperator_LocalVariable
delete-node_BinaryOperator_If,move-tree_UnaryOperator_BinaryOperator
delete-node_Annotation_Method,insert-node_Annotation_Method
delete-node_Block_If,insert-node_Block_If
insert-node_BinaryOperator_If,move-tree_BinaryOperator_If
insert-node_BinaryOperator_If,move-tree_UnaryOperator_If
insert-node_BinaryOperator_If,delete-node_If_Block
insert-node_Block_If,insert-node_LocalVariable_TryWithResource
delete-node_ConstructorCall_Invocation,insert-node_Invocation_Return
delete-node_ConstructorCall_Invocation,insert-node_Invocation_Invocation
delete-node_TypeAccess_Invocation,insert-node_Literal_Invocation
insert-node_TypeAccess_Invocation,delete-node_Literal_Invocation
move-tree_VariableRead_BinaryOperator,insert-node_Invocation_BinaryOperator
move-tree_VariableRead_BinaryOperator,insert-node_Invocation_If
move-tree_BinaryOperator_Assignment,delete-node_Assignment_Block
insert-node_Invocation_Return,delete-node_FieldRead_Return
insert-node_Invocation_Return,delete-node_Literal_Return
delete-node_Invocation_Return,insert-node_ConstructorCall_Invocation
delete-node_Invocation_Return,insert-node_FieldRead_Return
delete-node_Invocation_Return,insert-node_Literal_Return
delete-node_BinaryOperator_Return,move-tree_UnaryOperator_BinaryOperator
insert-node_FieldRead_ExecutableReferenceExpression,delete-node_ThisAccess_ExecutableReferenceExpression
insert-node_ThisAccess_ExecutableReferenceExpression,delete-node_FieldRead_ExecutableReferenceExpression
move-tree_BinaryOperator_If,delete-node_If_Block
insert-node_Literal_Return,delete-node_FieldRead_Return
move-tree_VariableRead_Conditional,update-node_VariableRead_Conditional
move-tree_BinaryOperator_Invocation,insert-node_Assignment_Block
move-tree_Invocation_OperatorAssignment,update-node_Invocation_OperatorAssignment
insert-node_VariableRead_BinaryOperator,delete-node_Invocation_BinaryOperator
update-node_VariableRead_Conditional,insert-node_Invocation_Conditional
insert-node_Try_Block,insert-node_LocalVariable_Block
move-tree_BinaryOperator_ConstructorCall,delete-node_Try_Block
insert-node_BinaryOperator_Return,move-tree_BinaryOperator_Return
delete-node_Literal_Return,insert-node_FieldRead_Return
insert-node_Invocation_BinaryOperator,delete-node_VariableRead_BinaryOperator
delete-node_Literal_Invocation,delete-node_Invocation_Block
delete-node_LocalVariable_TryWithResource,move-tree_Literal_NewArray
