source,target
delete-node_If_Block,delete-node_LocalVariable_Block
delete-node_If_Block,is_vul
delete-node_If_Block,insert-node_VariableRead_Invocation
insert-node_If_Block,is_vul
insert-node_If_Block,insert-node_Invocation_Block
insert-node_If_Block,delete-node_VariableRead_Invocation
delete-node_Invocation_Block,is_vul
delete-node_Invocation_Block,delete-node_LocalVariable_Block
delete-node_Invocation_Block,insert-node_If_Block
delete-node_Invocation_Block,delete-node_If_Block
insert-node_LocalVariable_Block,insert-node_If_Block
insert-node_LocalVariable_Block,insert-node_Invocation_Block
delete-node_LocalVariable_Block,delete-node_VariableRead_Invocation
delete-node_LocalVariable_Block,insert-node_LocalVariable_Block
insert-node_VariableRead_Invocation,insert-node_LocalVariable_Block
is_vul,insert-node_Invocation_Block
is_vul,insert-node_Invocation_LocalVariable
is_vul,delete-node_Invocation_LocalVariable
