source,target
delete-node_If_Block,delete-node_LocalVariable_Block
insert-node_If_Block,is_vul
insert-node_If_Block,insert-node_Invocation_Block
insert-node_Invocation_Block,insert-node_ConstructorCall_LocalVariable
insert-node_Invocation_Block,is_vul
delete-node_Invocation_Block,delete-node_LocalVariable_Block
delete-node_Invocation_Block,delete-node_If_Block
insert-node_LocalVariable_Block,insert-node_If_Block
insert-node_LocalVariable_Block,insert-node_VariableRead_Invocation
insert-node_LocalVariable_Block,insert-node_Invocation_Block
insert-node_LocalVariable_Block,insert-node_Assignment_Block
insert-node_LocalVariable_Block,delete-node_LocalVariable_Block
insert-node_LocalVariable_Block,move-tree_VariableRead_BinaryOperator
insert-node_LocalVariable_Block,insert-node_Catch_Try
delete-node_LocalVariable_Block,delete-node_VariableRead_Invocation
delete-node_LocalVariable_Block,move-tree_BinaryOperator_LocalVariable
delete-node_LocalVariable_Block,delete-node_Assignment_Block
delete-node_LocalVariable_Block,move-tree_VariableRead_BinaryOperator
insert-node_Invocation_LocalVariable,delete-node_ConstructorCall_LocalVariable
delete-node_Invocation_LocalVariable,insert-node_ConstructorCall_LocalVariable
delete-node_Invocation_LocalVariable,update-node_TypeAccess_ThisAccess
insert-node_VariableRead_Invocation,delete-node_Invocation_Invocation
delete-node_VariableRead_Invocation,insert-node_Invocation_Invocation
insert-node_Parameter_Method,insert-node_VariableRead_Invocation
insert-node_Invocation_Invocation,insert-node_Invocation_Return
insert-node_Invocation_Invocation,delete-node_ConstructorCall_Invocation
delete-node_Parameter_Method,delete-node_VariableRead_Invocation
delete-node_Invocation_Invocation,insert-node_ConstructorCall_Invocation
delete-node_Invocation_Invocation,delete-node_Invocation_Return
delete-node_BinaryOperator_If,move-tree_UnaryOperator_BinaryOperator
delete-node_Annotation_Method,insert-node_Annotation_Method
delete-node_Block_If,insert-node_Block_If
delete-node_ConstructorCall_LocalVariable,delete-node_Invocation_Block
delete-node_Assignment_Block,move-tree_BinaryOperator_Assignment
insert-node_ConstructorCall_Invocation,delete-node_Invocation_Return
delete-node_ConstructorCall_Invocation,insert-node_Invocation_Return
move-tree_VariableRead_BinaryOperator,delete-node_BinaryOperator_If
insert-node_Assignment_Block,delete-node_Assignment_Block
insert-node_Assignment_Block,is_vul
insert-node_Invocation_Return,delete-node_FieldRead_Return
delete-node_Invocation_Return,insert-node_FieldRead_Return
is_vul,delete-node_Invocation_LocalVariable
is_vul,delete-node_Parameter_Method
is_vul,insert-node_Invocation_LocalVariable
is_vul,insert-node_Parameter_Method
is_vul,insert-node_FieldRead_ConstructorCall
is_vul,delete-node_BinaryOperator_If
is_vul,delete-node_Invocation_Invocation
is_vul,insert-node_Annotation_Method
is_vul,delete-node_Block_If
is_vul,insert-node_Invocation_Invocation
is_vul,insert-node_BinaryOperator_If
is_vul,delete-node_Invocation_ConstructorCall
is_vul,insert-node_Invocation_ConstructorCall
is_vul,delete-node_FieldRead_ConstructorCall
is_vul,insert-node_Block_If
is_vul,insert-node_Annotation_Parameter
is_vul,delete-node_Annotation_Parameter
is_vul,delete-node_TypeAccess_Invocation
is_vul,insert-node_TypeAccess_Invocation
is_vul,insert-node_TypeReference_Invocation
is_vul,delete-node_TypeReference_Invocation
is_vul,insert-node_VirtualElement_Annotation
is_vul,delete-node_VirtualElement_Annotation
is_vul,delete-node_Annotation_Method
is_vul,delete-node_If_Block
is_vul,delete-node_Invocation_Block
is_vul,delete-node_Catch_Try
is_vul,delete-node_Invocation_BinaryOperator
