node,state,P(state=1 | is_vul=0),P(state=1 | is_vul=1),delta_(is_vul=1-minus-0)
delete-node_Annotation_Method,0,0.9938391999017215,0.9760039291675331,-0.017835270734188446
delete-node_Annotation_Method,1,0.006160800098278666,0.023996070832465646,0.017835270734186982
delete-node_Annotation_Parameter,0,0.9995929770150818,0.9936724130102899,-0.005920564004791906
delete-node_Annotation_Parameter,1,0.0004070229849183238,0.006327586989709745,0.005920564004791421
delete-node_Assignment_Block,0,0.9735121093913792,0.9693000674811835,-0.004212041910195752
delete-node_Assignment_Block,1,0.026487890608621688,0.03069993251881463,0.0042120419101929416
delete-node_BinaryOperator_If,0,0.9886708461003263,0.9641262903227792,-0.024544555777547106
delete-node_BinaryOperator_If,1,0.011329153899674161,0.03587370967721831,0.02454455577754415
delete-node_Block_If,0,0.9953298076322938,0.9829210696403763,-0.012408737991917551
delete-node_Block_If,1,0.004670192367706252,0.017078930359622962,0.012408737991916712
delete-node_Catch_Try,0,0.9977600296628347,0.9962075133779926,-0.0015525162848420981
delete-node_Catch_Try,1,0.0022399703371651578,0.003792486622007143,0.0015525162848419854
delete-node_ConstructorCall_Invocation,0,0.9954745454288619,0.995166303877676,-0.0003082415511859171
delete-node_ConstructorCall_Invocation,1,0.004525454571138283,0.004833696122323675,0.0003082415511853915
delete-node_ConstructorCall_LocalVariable,0,0.9939338964023139,0.9994010759274364,0.005467179525122545
delete-node_ConstructorCall_LocalVariable,1,0.006066103597686505,0.000598924072563483,-0.005467179525123022
delete-node_FieldRead_ConstructorCall,0,0.9990076182157562,0.9903392961028772,-0.008668322112879046
delete-node_FieldRead_ConstructorCall,1,0.0009923817842437358,0.009660703897122229,0.008668322112878492
delete-node_FieldRead_Return,0,0.9991859540301633,0.9987221356060817,-0.0004638184240816079
delete-node_FieldRead_Return,1,0.0008140459698366476,0.0012778643939182082,0.0004638184240815606
delete-node_If_Block,0,0.9473574486804751,0.8018338868698605,-0.14552356181061465
delete-node_If_Block,1,0.05264255131952629,0.1981661131301272,0.1455235618106009
delete-node_Invocation_BinaryOperator,0,0.9945644590383189,0.9911221755879102,-0.0034422834504087563
delete-node_Invocation_BinaryOperator,1,0.005435540961681466,0.008877824412089369,0.003442283450407903
delete-node_Invocation_Block,0,0.947980797684907,0.823894941842732,-0.12408585584217491
delete-node_Invocation_Block,1,0.05201920231509511,0.17610505815725686,0.12408585584216175
delete-node_Invocation_ConstructorCall,0,0.9997964885075409,0.9930139762897994,-0.00678251221774151
delete-node_Invocation_ConstructorCall,1,0.0002035114924591619,0.006986023710200217,0.006782512217741055
delete-node_Invocation_Invocation,0,0.9811052629759174,0.9504306803201484,-0.030674582655768945
delete-node_Invocation_Invocation,1,0.018894737024083383,0.049569319679848727,0.030674582655765344
delete-node_Invocation_LocalVariable,0,0.9963925689312694,0.9758701396926444,-0.020522429238625017
delete-node_Invocation_LocalVariable,1,0.0036074310687308135,0.024129860307354214,0.0205224292386234
delete-node_Invocation_Return,0,0.9931260318118876,0.991159862833635,-0.001966168978252636
delete-node_Invocation_Return,1,0.006873968188112599,0.008840137166364526,0.0019661689782519273
delete-node_LocalVariable_Block,0,0.9290925688626647,0.8689255640393795,-0.060167004823285186
delete-node_LocalVariable_Block,1,0.07090743113733841,0.13107443596061283,0.06016700482327442
delete-node_Parameter_Method,0,0.9947506302123793,0.9748251900726136,-0.019925440139765715
delete-node_Parameter_Method,1,0.005249369787621108,0.025174809927384988,0.01992544013976388
delete-node_TypeAccess_Invocation,0,0.9918212128881628,0.9803047034967074,-0.011516509391455432
delete-node_TypeAccess_Invocation,1,0.008178787111837489,0.01969529650329131,0.01151650939145382
delete-node_TypeReference_Invocation,0,0.9950183398401594,0.9991016138911547,0.004083274050995289
delete-node_TypeReference_Invocation,1,0.0049816601598407974,0.0008983861088452245,-0.004083274050995573
delete-node_VariableRead_Invocation,0,0.97603342071226,0.956435245690786,-0.019598175021473985
delete-node_VariableRead_Invocation,1,0.023966579287741183,0.04356475430921113,0.01959817502146995
delete-node_VirtualElement_Annotation,0,0.9979497961282878,0.9939512466264377,-0.003998549501850079
delete-node_VirtualElement_Annotation,1,0.002050203871711979,0.00604875337356182,0.003998549501849841
insert-node_Annotation_Method,0,0.9772598547618069,0.992342796953924,0.015082942192117144
insert-node_Annotation_Method,1,0.022740145238193992,0.007657203046075691,-0.015082942192118302
insert-node_Annotation_Parameter,0,0.9947750489504504,1.0,0.005224951049549564
