node,P(state=1 | is_vul=0),P(state=1 | is_vul=1),delta,abs_delta,impact_direction
delete-node_If_Block,0.0526425513195262,0.1981661131301272,0.1455235618106009,0.1455235618106009,higher when is_vul=1
delete-node_Invocation_Block,0.0520192023150951,0.1761050581572568,0.1240858558421617,0.1240858558421617,higher when is_vul=1
delete-node_LocalVariable_Block,0.0709074311373384,0.1310744359606128,0.0601670048232744,0.0601670048232744,higher when is_vul=1
insert-node_Invocation_Invocation,0.0583968509353336,0.0258074597793833,-0.0325893911559503,0.0325893911559503,lower when is_vul=1
delete-node_Invocation_Invocation,0.0188947370240833,0.0495693196798487,0.0306745826557653,0.0306745826557653,higher when is_vul=1
delete-node_BinaryOperator_If,0.0113291538996741,0.0358737096772183,0.0245445557775441,0.0245445557775441,higher when is_vul=1
insert-node_Invocation_LocalVariable,0.0261532545051352,0.0030541330107444,-0.0230991214943908,0.0230991214943908,lower when is_vul=1
insert-node_Parameter_Method,0.0276158932302735,0.0066259763880373,-0.0209899168422361,0.0209899168422361,lower when is_vul=1
delete-node_Invocation_LocalVariable,0.0036074310687308,0.0241298603073542,0.0205224292386234,0.0205224292386234,higher when is_vul=1
delete-node_Parameter_Method,0.0052493697876211,0.0251748099273849,0.0199254401397638,0.0199254401397638,higher when is_vul=1
delete-node_VariableRead_Invocation,0.0239665792877411,0.0435647543092111,0.0195981750214699,0.0195981750214699,higher when is_vul=1
delete-node_Annotation_Method,0.0061608000982786,0.0239960708324656,0.0178352707341869,0.0178352707341869,higher when is_vul=1
insert-node_BinaryOperator_If,0.0271346871313133,0.0107840271589147,-0.0163506599723986,0.0163506599723986,lower when is_vul=1
insert-node_Annotation_Method,0.0227401452381939,0.0076572030460756,-0.0150829421921183,0.0150829421921183,lower when is_vul=1
insert-node_VariableRead_Invocation,0.0397973523655384,0.0247318564311938,-0.0150654959343445,0.0150654959343445,lower when is_vul=1
delete-node_Block_If,0.0046701923677062,0.0170789303596229,0.0124087379919167,0.0124087379919167,higher when is_vul=1
delete-node_TypeAccess_Invocation,0.0081787871118374,0.0196952965032913,0.0115165093914538,0.0115165093914538,higher when is_vul=1
insert-node_Block_If,0.0138908539276999,0.0032784759414735,-0.0106123779862264,0.0106123779862264,lower when is_vul=1
insert-node_TypeAccess_Invocation,0.0167880738324401,0.0067588169372304,-0.0100292568952096,0.0100292568952096,lower when is_vul=1
insert-node_FieldRead_ConstructorCall,0.0103675474007068,0.0015157162695882,-0.0088518311311186,0.0088518311311186,lower when is_vul=1
delete-node_FieldRead_ConstructorCall,0.0009923817842437,0.0096607038971222,0.0086683221128784,0.0086683221128784,higher when is_vul=1
delete-node_Invocation_ConstructorCall,0.0002035114924591,0.0069860237102002,0.006782512217741,0.006782512217741,higher when is_vul=1
delete-node_Annotation_Parameter,0.0004070229849183,0.0063275869897097,0.0059205640047914,0.0059205640047914,higher when is_vul=1
delete-node_ConstructorCall_LocalVariable,0.0060661035976865,0.0005989240725634,-0.005467179525123,0.005467179525123,lower when is_vul=1
insert-node_Annotation_Parameter,0.0052249510495496,0.0,-0.0052249510495496,0.0052249510495496,lower when is_vul=1
insert-node_VirtualElement_Annotation,0.0052626295867043,8.001624879124234e-05,-0.005182613337913,0.005182613337913,lower when is_vul=1
insert-node_Invocation_ConstructorCall,0.0050758714325102,0.0005989240725634,-0.0044769473599467,0.0044769473599467,lower when is_vul=1
delete-node_Assignment_Block,0.0264878906086216,0.0306999325188146,0.0042120419101929,0.0042120419101929,higher when is_vul=1
delete-node_TypeReference_Invocation,0.0049816601598407,0.0008983861088452,-0.0040832740509955,0.0040832740509955,lower when is_vul=1
delete-node_VirtualElement_Annotation,0.0020502038717119,0.0060487533735618,0.0039985495018498,0.0039985495018498,higher when is_vul=1
delete-node_Invocation_BinaryOperator,0.0054355409616814,0.0088778244120893,0.0034422834504079,0.0034422834504079,higher when is_vul=1
insert-node_TypeReference_Invocation,0.0004070229849183,0.0038433874682318,0.0034363644833135,0.0034363644833135,higher when is_vul=1
move-tree_BinaryOperator_LocalVariable,0.0032694436784298,0.0065893617802666,0.0033199181018368,0.0033199181018368,higher when is_vul=1
update-node_TypeAccess_ThisAccess,0.0175543970166621,0.0205364645703272,0.002982067553665,0.002982067553665,higher when is_vul=1
insert-node_ConstructorCall_LocalVariable,0.0019847635684874,0.0045152168520256,0.0025304532835381,0.0025304532835381,higher when is_vul=1
delete-node_Invocation_Return,0.0068739681881125,0.0088401371663645,0.0019661689782519,0.0019661689782519,higher when is_vul=1
insert-node_FieldRead_Return,0.0006105344773774,0.0024941186272246,0.0018835841498471,0.0018835841498471,higher when is_vul=1
move-tree_BinaryOperator_Assignment,0.0007198346971672,0.0025912191628575,0.0018713844656902,0.0018713844656902,higher when is_vul=1
delete-node_Catch_Try,0.0022399703371651,0.0037924866220071,0.0015525162848419,0.0015525162848419,higher when is_vul=1
insert-node_ConstructorCall_Invocation,0.0035948689049363,0.0048553967052562,0.0012605278003199,0.0012605278003199,higher when is_vul=1
move-tree_UnaryOperator_BinaryOperator,0.0032088304235995,0.0043163909470369,0.0011075605234374,0.0011075605234374,higher when is_vul=1
insert-node_Invocation_Return,0.0099532708283214,0.0091545859768031,-0.0007986848515183,0.0007986848515183,lower when is_vul=1
delete-node_FieldRead_Return,0.0008140459698366,0.0012778643939182,0.0004638184240815,0.0004638184240815,higher when is_vul=1
delete-node_ConstructorCall_Invocation,0.0045254545711382,0.0048336961223236,0.0003082415511853,0.0003082415511853,higher when is_vul=1
move-tree_VariableRead_BinaryOperator,0.0187961865224332,0.0188249533410328,2.8766818599663263e-05,2.8766818599663263e-05,higher when is_vul=1
