node,estimated_probability
is_vul,0.502125
delete-node_If_Block,0.12025
insert-node_If_Block,0.11825
delete-node_Invocation_Block,0.11025
insert-node_Invocation_Block,0.104625
insert-node_Invocation_Invocation,0.044625
delete-node_Invocation_Invocation,0.037
insert-node_Assignment_Block,0.0255
insert-node_Parameter_Method,0.018625
delete-node_BinaryOperator_If,0.018125
insert-node_BinaryOperator_If,0.017625
delete-node_Annotation_Method,0.017
delete-node_Parameter_Method,0.016125
insert-node_Annotation_Method,0.015625
delete-node_Invocation_LocalVariable,0.013875
insert-node_TypeAccess_Invocation,0.013125
insert-node_Invocation_LocalVariable,0.01275
delete-node_TypeAccess_Invocation,0.012375
delete-node_Block_If,0.01
insert-node_Block_If,0.009875
delete-node_Invocation_BinaryOperator,0.006625
insert-node_FieldRead_ConstructorCall,0.006375
delete-node_FieldRead_ConstructorCall,0.0055
delete-node_Invocation_ConstructorCall,0.00475
insert-node_Invocation_ConstructorCall,0.004125
delete-node_Catch_Try,0.004
insert-node_VirtualElement_Annotation,0.002625
insert-node_Annotation_Parameter,0.0025
delete-node_Annotation_Parameter,0.002
insert-node_TypeReference_Invocation,0.001875
delete-node_TypeReference_Invocation,0.001875
delete-node_VirtualElement_Annotation,0.00175
